question,ground_truth_answer,source_passage,question_type,difficulty,section,chunk_id
What is the fiscal year of the Company?,52- or 53-week period,The Company’s fiscal year is the 52- or 53-week period that ends on the last Saturday of September.,fact_extraction,easy,Business,chunk_001
How many types of wireless headphones does the Company's line of wireless headphones include?,4,"The Company’s line of wireless headphones includes AirPods ® , AirPods Pro ® , AirPods Max ® and Beats ® products.",numeric_calculation,medium,Business,chunk_001
What is the name of the Company's media streaming and gaming device?,Apple TV 4K,"Apple TV 4K ® , the Company’s media streaming and gaming device based on its tvOS ® operating system,",fact_extraction,easy,Business,chunk_001
What is the name of the Company's spatial computer?,Apple Vision Pro,Apple Vision Pro™ is the Company’s spatial computer based on its visionOS ® operating system.,fact_extraction,easy,Business,chunk_001
How many reportable segments does the Company manage its business on?,5,"The Company manages its business primarily on a geographic basis. The Company’s reportable segments consist of the Americas, Europe, Greater China, Japan and Rest of Asia Pacific.",numeric_calculation,medium,Business,chunk_001
What is the name of the Company's line of multipurpose tablets?,iPad,iPad iPad ® is the Company’s line of multipurpose tablets based on its iPadOS ® operating system.,fact_extraction,easy,Business,chunk_001
What percentage of the Company's net sales came from direct distribution channels in 2025?,40%,"During 2025, the Company’s net sales through its direct and indirect distribution channels accounted for 40% and 60%, respectively, of total net sales.",fact_extraction,easy,Business,chunk_002
What are the primary markets in which the Company's customers are located?,"consumer, small and mid-sized business, education, enterprise and government","The Company’s customers are primarily in the consumer, small and mid-sized business, education, enterprise and government markets.",fact_extraction,easy,Business,chunk_002
What percentage of the Company's net sales came from indirect distribution channels in 2025?,60%,"During 2025, the Company’s net sales through its direct and indirect distribution channels accounted for 40% and 60%, respectively, of total net sales.",fact_extraction,easy,Business,chunk_002
What are the principal competitive factors important to the Company?,"price, product and service features (including security features), relative price and performance, product and service quality and reliability, design and technology innovation, a strong third-party software and accessories ecosystem, marketing and distribution capability, service and support, corporate reputation, and the ability to effectively protect and enforce the Company’s intellectual property rights","Principal competitive factors important to the Company include price, product and service features (including security features), relative price and performance, product and service quality and reliability, design and technology innovation, a strong third-party software and accessories ecosystem, marketing and distribution capability, service and support, corporate reputation, and the ability to effectively protect and enforce the Company’s intellectual property rights.",fact_extraction,hard,Business,chunk_002
What are some of the Company's competitors' advantages?,"broad product lines, low-priced products, large installed bases of active devices, and large customer bases","Some of the Company’s competitors have broad product lines, low-priced products, large installed bases of active devices, and large customer bases.",fact_extraction,medium,Business,chunk_002
What are some of the challenges the Company faces in the markets it competes in?,"aggressive price competition, downward pressure on gross margins, continual improvement in product performance, and price sensitivity on the part of consumers and businesses","The markets for the Company’s products and services are highly competitive and are characterized by aggressive price competition, downward pressure on gross margins, continual improvement in product performance, and price sensitivity on the part of consumers and businesses.",fact_extraction,hard,Business,chunk_002
How can consumer confidence and spending be materially adversely affected?,"in response to changes in fiscal and monetary policy, financial market volatility, declines in income or asset values, and other economic factors","In addition, consumer confidence and spending can be materially adversely affected in response to changes in fiscal and monetary policy, financial market volatility, declines in income or asset values, and other economic factors.",fact_extraction,medium,Risk Factors,chunk_003
What are some examples of business interruptions that can have a material adverse effect on the Company?,"political events, trade and other international disputes, geopolitical tensions, conflict, terrorism, natural disasters, public health issues, industrial accidents","Political events, trade and other international disputes, geopolitical tensions, conflict, terrorism, natural disasters, public health issues, industrial accidents and other business interruptions can have a material adverse effect on the Company and its customers, employees, suppliers, contract manufacturers, logistics providers, distributors, cellular network carriers and other channel partners.",fact_extraction,easy,Risk Factors,chunk_003
What are some potential impacts on the Company's financial instruments due to adverse economic conditions?,declines in the fair values,Adverse economic conditions can also lead to increased credit and collectibility risk on the Company’s trade receivables; the failure of derivative counterparties and other financial institutions; limitations on the Company’s ability to issue new debt; reduced liquidity; and declines in the fair values of the Company’s financial instruments.,fact_extraction,easy,Risk Factors,chunk_003
What is the relationship between the Company's operations and global and regional economic conditions?,The Company’s operations and performance depend significantly on global and regional economic conditions.,"The Company’s operations and performance depend significantly on global and regional economic conditions and adverse economic conditions can materially adversely affect the Company’s business, results of operations, financial condition and stock price.",fact_extraction,easy,Risk Factors,chunk_003
What are some factors that can impact consumer confidence and spending?,economic factors,"In addition, consumer confidence and spending can be materially adversely affected in response to changes in fiscal and monetary policy, financial market volatility, declines in income or asset values, and other economic factors.",fact_extraction,easy,Risk Factors,chunk_003
What are some potential impacts on the Company's business due to adverse economic conditions?,increased credit and collectibility risk on the Company’s trade receivables; the failure of derivative counterparties and other financial institutions; limitations on the Company’s ability to issue new debt; reduced liquidity; and declines in the fair values of the Company’s financial instruments,Adverse economic conditions can also lead to increased credit and collectibility risk on the Company’s trade receivables; the failure of derivative counterparties and other financial institutions; limitations on the Company’s ability to issue new debt; reduced liquidity; and declines in the fair values of the Company’s financial instruments.,fact_extraction,hard,Risk Factors,chunk_003
What countries are the Company's manufacturing partners primarily located in?,"China mainland, India, Japan, South Korea, Taiwan and Vietnam","A significant majority of the Company’s manufacturing is performed in whole or in part by outsourcing partners located primarily in China mainland, India, Japan, South Korea, Taiwan and Vietnam, in addition to sourcing from partners and facilities located in the U.S.",fact_extraction,easy,Risk Factors,chunk_004
What is the source of a significant majority of the Company's total net sales?,Sales outside the U.S.,"The Company has a large, global business with sales outside the U.S. representing a majority of the Company’s total net sales, and the Company believes that it generally benefits from growth in international trade.",fact_extraction,easy,Risk Factors,chunk_004
What is the impact of trade and other international disputes on the macroeconomic environment?,It can result in shifts and reductions in consumer spending and negative consumer sentiment.,"Trade and other international disputes can also have an adverse impact on the overall macroeconomic environment and result in shifts and reductions in consumer spending and negative consumer sentiment for the Company’s products and services, all of which can further adversely affect the Company’s business and results of operations.",fact_extraction,easy,Risk Factors,chunk_004
What is the approximate time frame when new tariffs were announced on imports to the U.S.? ,Second quarter of 2025,"Beginning in the second quarter of 2025, new tariffs were announced on imports to the U.S. (“U.S. Tariffs”), including additional tariffs on imports from China, India, Japan, South Korea, Taiwan, Vietnam and the European Union (“EU”), among others.",fact_extraction,easy,Risk Factors,chunk_004
What is the impact of a significant escalation of geopolitical tensions or conflict on global supply chains?,It can result in significant disruptions.,"Global supply chains can be highly concentrated, and an escalation of geopolitical tensions or conflict could result in significant disruptions.",fact_extraction,easy,Risk Factors,chunk_004
What is the impact of restrictive measures on the Company's business and supply chain?,"It can be expensive, time-consuming and disruptive.","Changing the Company’s business and supply chain in accordance with new or changed restrictions on international trade can be expensive, time-consuming and disruptive to the Company’s business and results of operations.",fact_extraction,easy,Risk Factors,chunk_004
What is the potential impact of disputes and conflicts further escalating on the actions by governments in response?,Actions by governments in response could be significantly more severe and restrictive.,"If disputes and conflicts further escalate, actions by governments in response could be significantly more severe and restrictive.",fact_extraction,hard,Risk Factors,chunk_004
What can happen to the Company's business due to industrial accidents at its suppliers?,"serious injuries or loss of life, disruption to the Company's business, and harm to the Company's reputation","While the Company’s suppliers are required to maintain safe working environments and operations, an industrial accident could occur and could result in serious injuries or loss of life, disruption to the Company’s business, and harm to the Company’s reputation.",fact_extraction,easy,Risk Factors,chunk_005
What can happen to the Company's business due to pandemics?,materially adversely affect the Company,"Major public health issues, including pandemics such as the COVID-19 pandemic, have adversely affected, and could in the future materially adversely affect, the Company due to their impact on the global economy and demand for consumer products;",fact_extraction,easy,Risk Factors,chunk_005
How can the Company's business be affected by a business interruption?,"require substantial recovery time, incur significant expenditures to resume operations, and lose significant sales","Following any interruption to its business, the Company can require substantial recovery time, incur significant expenditures to resume operations, and lose significant sales.",fact_extraction,easy,Risk Factors,chunk_005
What is the impact of rapid technological change on the Company's business?,the Company may be unable to compete effectively in these markets,"Global markets for the Company’s products and services are highly competitive and subject to rapid technological change, and the Company may be unable to compete effectively in these markets.",fact_extraction,easy,Risk Factors,chunk_005
What is the impact of the Company's reliance on single or limited sources for the supply and manufacture of many critical components?,a business interruption affecting such sources would exacerbate any negative consequences to the Company,"Because the Company relies on single or limited sources for the supply and manufacture of many critical components, a business interruption affecting such sources would exacerbate any negative consequences to the Company.",fact_extraction,medium,Risk Factors,chunk_005
What is the main factor that determines the Company's ability to compete successfully?,"ensuring the continuing and timely introduction of innovative new products, services and technologies to the marketplace","The Company’s ability to compete successfully depends heavily on ensuring the continuing and timely introduction of innovative new products, services and technologies to the marketplace.",fact_extraction,easy,Risk Factors,chunk_005
"What can happen to the Company's business due to regulatory requirements, government investigations and litigation?","the Company may have to withdraw from, or modify its products and services for, certain countries and limit its ability to derive value from, or to enjoin others from using, its intellectual property rights","Regulatory requirements, government investigations and litigation can force the Company to withdraw from, or modify its products and services for, certain countries and limit its ability to derive value from, or to enjoin others from using, its intellectual property rights.",fact_extraction,medium,Risk Factors,chunk_005
What is a significant challenge the company faces in protecting its intellectual property?,Effective intellectual property protection is not consistently available in every country in which the Company operates.,Effective intellectual property protection is not consistently available in every country in which the Company operates.,fact_extraction,easy,Risk Factors,chunk_006
How do some of the company's competitors offer more competitive solutions?,by imitating the Company's product features and applications within their products,"as well as established hardware, software and service offerings. In addition, the Company faces significant competition as competitors imitate the Company’s product features and applications within their products to offer more competitive solutions.",fact_extraction,easy,Risk Factors,chunk_006
What is a potential outcome if the company is unable to compete successfully?,"its business, reputation, results of operations, financial condition and stock price can be materially adversely affected.","If the Company is unable to compete successfully, its business, reputation, results of operations, financial condition and stock price can be materially adversely affected.",fact_extraction,easy,Risk Factors,chunk_006
What are some of the factors that contribute to the success of new product and service introductions?,"the Company’s ability to recruit and retain highly skilled personnel to execute on its strategic initiatives, and the timely and successful development and market acceptance of new products, services and technologies.","The success of new product and service introductions depends on a number of factors, including the Company’s ability to recruit and retain highly skilled personnel to execute on its strategic initiatives, and the timely and successful development and market acceptance of new products, services and technologies.",fact_extraction,medium,Risk Factors,chunk_006
What is a potential outcome if the company is unable to manage future introductions and transitions of products and services?,"the Company’s business, reputation, results of operations, financial condition and stock price can be materially adversely affected","The Company may not be able to successfully manage future introductions and transitions of products and services, which can materially adversely affect the Company’s business, reputation, results of operations, financial condition and stock price.",fact_extraction,easy,Risk Factors,chunk_006
What are some of the factors that contribute to the success of new product and service introductions?,the effective integration of third-party services and technologies into the Company’s products and services,"Success also relies on the Company’s ability to manage the risks associated with new technologies and production ramp-up issues, the effective integration of third-party services and technologies into the Company’s products and services, the availability, delivery and performance of application software or other third-party support for the Company’s products and services, the effective management of manufacturing and other purchase commitments and the management of inventory levels in line with anticipated product demand, and the availability of products in appropriate quantities and at expected costs to meet anticipated demand.",fact_extraction,medium,Risk Factors,chunk_006
What is a potential risk associated with new product and service introductions?,quality issues or other defects or deficiencies,"Additionally, quality issues or other defects or deficiencies can adversely affect the success of new product and service introductions and market acceptance.",fact_extraction,easy,Risk Factors,chunk_006
What is the Company's exposure to foreign exchange rate risk?,primarily to the Company being a net receiver of currencies other than the U.S. dollar,The Company’s exposure to foreign exchange rate risk relates primarily to the Company being a net receiver of currencies other than the U.S. dollar.,fact_extraction,easy,Market Risk,chunk_007
"What is the maximum expected loss in fair value of the Company's foreign currency derivative positions due to adverse movements in rates, with 95% confidence, as of September 27, 2025?",$590 million,"Based on the results of the model, the Company estimates, with 95% confidence, a maximum one-day loss in fair value of $590 million and $538 million as of September 27, 2025 and September 28, 2024, respectively.",fact_extraction,easy,Market Risk,chunk_007
Why may the Company choose not to hedge certain foreign currency exposures?,including accounting considerations or prohibitive cost,"However, the Company may choose to not hedge certain foreign currency exposures for a variety of reasons, including accounting considerations or prohibitive cost.",fact_extraction,hard,Market Risk,chunk_007
What is the relationship between the Company's foreign currency exposures and the fair values of its foreign currency derivatives?,generally offset changes in the fair values of the Company’s foreign currency derivatives,"Changes in the Company’s underlying foreign currency exposures, which were excluded from the assessment, generally offset changes in the fair values of the Company’s foreign currency derivatives.",fact_extraction,hard,Market Risk,chunk_007
"What is the total net sales for the year ended September 27, 2025?","416,161","CONSOLIDATED STATEMENTS OF OPERATIONS (In millions, except number of shares, which are reflected in thousands, and per-share amounts) Years ended September 27, 2025 September 28, 2024 September 30, 2023 Net sales: Products $ 307,003 $ 294,866 $ 298,085 Services 109,158 96,169 85,200 Total net sales 416,161 391,035 383,285",fact_extraction,easy,Financial Statements,chunk_008
What is the par value of Apple Inc.'s common stock?,$0.00001,"Common stock and additional paid-in capital, $ 0.00001 par value:",fact_extraction,easy,Financial Statements,chunk_009
"What is the total amount of cash paid for income taxes, net, for the year ended September 27, 2025?","$43,369","Cash paid for income taxes, net $ 43,369 $ 26,102 $ 18,679",fact_extraction,easy,Financial Statements,chunk_009
What is the fiscal year of Apple Inc.?,The 52- or 53-week period that ends on the last Saturday of September.,The Company’s fiscal year is the 52- or 53-week period that ends on the last Saturday of September.,fact_extraction,easy,Financial Statements,chunk_010
How often is an additional week included in the first fiscal quarter?,Every five or six years.,"An additional week is included in the first fiscal quarter every five or six years to realign the Company’s fiscal quarters with calendar quarters, which occurred in the first fiscal quarter of 2023.",fact_extraction,easy,Financial Statements,chunk_010
What is the method used to recognize share-based compensation expense?,Straight-line basis.,The Company recognizes share-based compensation expense on a straight-line basis for its estimate of equity awards that will ultimately vest.,fact_extraction,easy,Financial Statements,chunk_010
What is the maximum maturity of highly liquid investments treated as cash equivalents?,Three months or less.,All highly liquid investments with maturities of three months or less at the date of purchase are treated as cash equivalents.,fact_extraction,easy,Financial Statements,chunk_010
What is the method used to determine the cost of securities sold?,Specific identification method.,The cost of securities sold is determined using the specific identification method.,fact_extraction,easy,Financial Statements,chunk_010
How often does the Company's fiscal year span 53 weeks?,Every 5-6 years.,"An additional week is included in the first fiscal quarter every five or six years to realign the Company’s fiscal quarters with calendar quarters, which occurred in the first fiscal quarter of 2023.",comparison,medium,Financial Statements,chunk_010
What is the method used to account for lease and nonlease components?,Combined as a single lease component.,The Company combines and accounts for lease and nonlease components as a single lease component for leases of corporate and retail facilities.,fact_extraction,easy,Financial Statements,chunk_010
What is the reason for the Company to record reductions to Products net sales?,"Future product returns, price protection, and other customer incentive programs.","The Company records reductions to Products net sales related to future product returns, price protection and other customer incentive programs based on the Company’s expectations and historical experience.",fact_extraction,easy,Financial Statements,chunk_010
What is the method used to recognize revenue for the Company's Services net sales?,Over time as services are delivered.,"For the Company’s Services net sales, control transfers over time as services are delivered.",fact_extraction,easy,Financial Statements,chunk_010
"What is the first material performance obligation in arrangements involving the sale of iPhone, Mac, and iPad?",The hardware and bundled software delivered at the time of sale.,"The first material performance obligation, which represents the substantial portion of the allocated sales price, is the hardware and bundled software delivered at the time of sale.",fact_extraction,easy,Financial Statements,chunk_011
What is the method used to allocate revenue to all distinct performance obligations when observable prices are not available?,The Company’s best estimates of what the selling prices of the performance obligations would be if they were sold regularly on a stand-alone basis.,"When observable prices are not available, SSPs are established that reflect the Company’s best estimates of what the selling prices of the performance obligations would be if they were sold regularly on a stand-alone basis.",fact_extraction,easy,Financial Statements,chunk_011
